	author	comment
326	Michela Tozzi	Il tempo passa, ma i bisogni non cambiano Bisogna tenere sempre la guardia alta
327	simon	Day 293 listening to pink floyd everyday for 1 year
328	Тэлик-Музыка со смыслом / Telik-Music with meaning	👍👍👍Музыка спасёт МИР
329	polêmico	Foda demais..
330	Sebastiano Palermo	Musica indimenticabile ❤️👍
331	Slop King	say no to book banning. say no to censorship. say yes to freedom of expression.
332	simon	Day 298 listening to pink floyd everyday for 1 year
333	hi	I'm listening to this song because this was my mom's favorite song and she was a big pink floyd fan but my mom died
334	simon	Day 303 listening to pink floyd everyday for 1 year.
335	Los Chepes Crazys Chepes	I’m little desagree with the líric but I really like the energy the song!
336	Grigorii Krasnopolskii	Круто !
337	simon	Day 294 listening to pink floyd everyday for 1 year
338	simon	Day 319 listening to pink floyd everyday for 1 year
339	Ольга Петрухина	Хотите таких детей, флаг в руки. Потом не плачьте.
340	Thunder	I'm with Pink Floyd on this one, school sucked, bunch of adults trying to turn kids into mindless drones, so glad I'm done with that mess.
341	Jane Kellie	This Is A Legendary Truth....Hey Teacher Leave Those Kids Alone
342	Felicia Rufino	My dad and mom. We're a fan of pink floyd
343	N F	Gracias mamá y papá por descubrirme esta canción. Y gracias mamá por ponérsela a tus alumn@s
344	Анна Савіцька	Який оптимістичний кліп.Хороше закінчення.І про фарш в точку.Клас.Перший раз його побачила.Чула, але сам кліп вперше.
345	Ralf Beckmann	Marvellous Incredeble
346	Vahe 	Free your mind !!!!
347	simon	Day 358 listening to pink floyd everyday for 1 year.
348	Maureen Massicotte	Chills 😍
349	carlos jorge gomes moreira	Outros tempos kkkkkkk
350	florence alassimone	C excellent !!!👌
351	Yael Palombo	👌👌❤️
352	Дмитрий Катаев	Композитор и певец единственный здравомыслящий на заподном полушарии какое творчество все мирное достояние
353	Alexander Elvis	Am one of the student who rock the school at 4.30 moment♥️☘️ #Nostalgia
354	simon	Day 355 listening to pink floyd everyday for 1 year
355	three sevens	The most perfect guitar solo ever recorded.
356	simon	Day 340 listening to pink floyd everyday for 1 year
357	Lorenzo Iorio	Musica celestiale
358	Cidadão Comum	Um dos clips mais irresponsáveis e insanos!!! Aberração que distorce a posição dos bons professores e dos jovens que realmente desejam aprender!!! Além de incitar os alunos a odiarem seus prpfessores!!!
359	simon	day 295 listening to Pink floyd everyday for 1 year!
360	кучер серый	Слушал эти вещи, когда мне было 16 лет. Прошло более сорока, а тема до сих пор актуальна. Это классика!
361	KNR Mathi	Just great
362	simon	Day 305 listening to pink floyd everyday for 1 year
363	simon	Day 359 listening to pink floyd everyday for 1 year
364	simon	Day 302 listening to pink floyd everyday for 1 year.
365	Roderick Rat	This is actually the way a lot of kids see school. Pink Floyd got in touch with his inner child with this dark song. XD
366	simon	day 289 listening to pink floyd everyday for 1 year.
367	simon	Day 299 listening to pink floyd everyday for 1 yearzz
368	Brit Ski	❤❤❤
369	Gilafax	"""TEACHERS"" LEAVE OUR FUCKING KIDS ALONE! More relevant today than ever before....."
370	Dean Sholl	I use to play this full blast. I think my neighbours loved it too, they threw a brick through my window..... I guess to hear it better?
371	Tzer	they foresaw modern society way back then.
372	David Ort	Contra la presión las prohibiciones este tema refleja la realidad las imposiciones hay que desobedecer órdenes que menoscaban al ser humano
373	Mauro Rodrigues	1 passo pra nossa nova pátria pós guerra ,u,s,a,chegamos mais ou menos nisso ,vai ser ir,e matar a saudades nunca andei de avião boa tarde o cantor Pink Floyd nos ajudou gostamos de você aqui em casa,yes amizade feita nova nas nossas vidas at,Mauro Rodrigues.
374	Krzysztof T	Dziękuję!
375	Talita Sousa	Clássico ❤ nostalgia
376	Aasmi taoufik	Légendaire et unique vivement les années 60/70 du 20ieme siècle
377	Татьяна Павлова	"""стена"" на все времена."
378	Евгений Кольцов	Отличная песнЯ
379	simon	Day 310 listening to pink floyd everyday for 1 year
380	Mario Alvarez Marco	Pink floyd for ever !
381	Женя Талыпин	💖💖💖
382	simon	Day 277 listening to pink floyd everyday for 1 year
383	simon	Day 353 listening to pink floyd everyday for 1 year
384	Jason Minyard	Leave those kids alone! It won't end well I swear it!
385	L O U D M I N D	*_MASTERPIECE_* No more things to say...
386	simon	Day 313 listening to pink floyd everyday for 1 year
387	simon	Day 339 listening to pink floyd everyday for 1 year
388	simon	Day 316 listening to pink floyd everyday for 1 year
389	simon	Day 330 listening to pink floyd everyday for 1 year
390	jo	I was literally just thinking of this song and I searched “classic rock” and I found this in a playlist
391	_Pimenta	Que musica fod4 pqpp
392	simon	Day 327 listening to pink floyd everyday for 1 year
393	Luiz Oliveira	Alguém do grupo já chegou assistir o show do pink Floyd em Londres ou no Japão ou Canadá alguém de vocês
394	simon	day 287 listening to pink floyd everyday for 1 year.
395	Eddie Goh	It's fucking genius that the whole song/part just consist of 7 sentences, so strong that becomes a symbol and movements around the world to reject rigid schooling.
396	simon	day 285 listening to pink floyd everyday for 1 year
397	simon	Day 325 listening to pink floyd everyday for 1 year
398	samir sadek	Une légende j’aurais bien aimé savoir qu’est ce qui est devenu le gosse dans le clip
399	Fearbeast	This song was 2 years younger than me
400	Kris Horner	If you're still listening to this in 2021, you're a legend!!
401	Ty Flexum	We live in a world where we were designed for greatness, but programmed to fail.
402	Pal_ Arts	The most depressing thing about this is.... Nothing changes the horror and miserable face of children is still the SAME😓
403	esp92310	The song takes different meaning now in 2020....Did Pink Floyd try to tell us something? #saveourchildren
404	LiveForever	This song/video will live forever man, absolute masterpiece.
405	Samantha Perez	In 2nd grade I had a teacher who was the complete devil. One day my dad saved me by early dismissal, she had been humiliating me for 30 mins. Going home, my dad saw me crying and asked me why I was crying. I told him about her. He showed me this song. I memorized the whole song and the next time Ms. Delane tried picking on me again, I just shouted these lyrics on top of my lungs. She NEVER picked on me again 😂 she thought I was crazy. Thanks dad! ❤️
406	MOIA THE EXPLORER	It's crazy how many legends come back to this song everyday, this song is really legendary.
407	simon	Day 320 listening to pink floyd everyday for 1 year
408	i2rlia	Eu amava jdhsjsjaja
409	simon	Day 354 listening to pink floyd everyday for 1 year
410	simon	Day 318 listening to pink floyd everyday for 1 year..
411	simon	day 280 listening to pink floyd everyday for 1 year
412	simon	day 288 listening to pink floyd everyday for 1 year.
413	grankydank	I listen to this on my way to school lol
414	paul Wilkinson- Gardener	I remember when they wouldnt show the kids in the masks , so they changed it to marching hammers . Was that the start of the world we have now .
415	simon	day 315 listening to pink floyd everyday for 1 year
416	simon	1 year.. DAY 365 LISTENING TO PINK FLOYD EVERY DAY FOR 1 YEAR. WE DID BOYSS!!! ITS BEEN A JOURNEY…:)))
417	simon	Day 356 listening to pink floyd everyday for 1 year
418	simon	Day 326 listening to pink floyd everyday for 1 year.
419	Makaveli The Don	*QUE NOSTALGIA MANO!!😥❤❤..*
420	Vicente Martinez	K buenísima rrola
421	Jennifer Walsh	This just looks so 2020/2022, repeating history.
422	simon	Day 350 listening to pink floyd everyday for 1 year
423	João Batista de Mello Ayres Neto	Another Brick in the Wall (Roger Waters) com Pink Floyd We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey, teacher, leave them kids alone All in all it's just another brick in the wall All in all you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey, teachers, leave those kids alone All in all you're just another brick in the wall All in all you're just another brick in the wall Wrong, do it again If you don't eat yer meat, you can't have any pudding How can you have any pudding if you don't eat yer meat? You! Yes, you behind the bikesheds, stand still laddy!
424	simon	Day 341 listening to pink floyd everyday for 1 year
425	simon	Day 309 listening to pink floyd everyday for 1 year
426	Top Dawg	Life isn't a dream it's a nitemare from which one cannot awaken
427	simon	day 301 listening to pink floyd everyday for 1 year
428	CUTHESURFACE	i love the another brick in the wall reference
429	simon	Day 306 listening to pink floyd everyday for 1 year
430	Scott Browning	I would say that this song is as relevant today as it was when it was first released back in 1979.
431	Букля	Момент, когда они идут в мясорубку, чем- то напоминает мобилизацию
432	João Batista Gonçalves Gonçalves	Uau meu pai caramba,noosssaaa.uau.
433	Леха	Были Врена Х,,,И стоял с утра а теперь Довленье,но мы Любим засыпая слушаю 😍😂
434	simon	Day 335 listening to pink floyd everyday for 1 year.
435	simon	Day 363 listening to pink floyd everyday for 1 year
436	Rhybreadguy	Someone might've taken this personally.
437	Houssam Toufik	❤❤
438	simon	Day 274 listening to pink floyd everyday for 1 year.
439	david nigro	Grandi grandi grandissimo
440	Agata Capozzi	Mi manchi da morire 👼 speciale
441	Thomas Sousa	The best
442	Lourdes Nievas	Ustedes ERAN NUESTROS ÍDOLOS ¿ NOS EQUIVOCAMOS???????????
443	Vitor Machado	The signs of an Era.
444	Edson Euclides	O Brasil curte Pink Floyd.
445	fuzzyduck1989	"“Education is the most powerful weapon which you can use to change the world"" - Nelson Mandela. For the better or the worse though? 😑"
446	simon	day 321 listening to pink floyd everyday for 1 year
447	simon	Day 312 listening to pink floyd everyday for 1 year
448	Freddie P	It was a school choir in Crouch End, down the road from where I lived in Muswell Hill, that was invited to do the recording of kids. Although I was not living there at the time but I know of the school. That is its claim to fame.
